Holiday,Temperature,Rainfall_last_hour,Snowfall_last_hour,Cloud_Cover,Weather,Weather_Desc,TimeStamp,Date,Traffic_Vol
,289.19,0,0,20,Cloudy skies,Scattered clouds,03/10/08 20:00,03/10/08,2908
,287.8,0,0,1,Clear skies,Clear skies,03/10/08 21:00,03/10/08,2639
,286.75,0,0,1,Clear skies,Clear skies,03/10/08 22:00,03/10/08,1783
,285.46,0,0,1,Clear skies,Clear skies,03/10/08 23:00,03/10/08,1016
,285.25,0,0,2,Clear skies,Clear skies,04/10/08 0:00,04/10/08,600
,284.07,0,0,1,Clear skies,Clear skies,04/10/08 1:00,04/10/08,375
,283.67,0,0,1,Clear skies,Clear skies,04/10/08 2:00,04/10/08,313
,282.84,0,0,1,Clear skies,Clear skies,04/10/08 3:00,04/10/08,372
,281.89,0,0,1,Clear skies,Clear skies,04/10/08 4:00,04/10/08,843
,281.52,0,0,1,Clear skies,Clear skies,04/10/08 5:00,04/10/08,2730
,281.64,0,0,1,Clear skies,Clear skies,04/10/08 6:00,04/10/08,5695
,280.87,0,0,2,Clear skies,Clear skies,04/10/08 7:00,04/10/08,6999
,282.26,0,0,1,Clear skies,Clear skies,04/10/08 8:00,04/10/08,5989
,285.78,0,0,1,Clear skies,Clear skies,04/10/08 9:00,04/10/08,5312
,289.38,0,0,1,Clear skies,Clear skies,04/10/08 10:00,04/10/08,4606
,292.55,0,0,1,Clear skies,Clear skies,04/10/08 11:00,04/10/08,4885
,295.97,0,0,1,Clear skies,Clear skies,04/10/08 12:00,04/10/08,5113
,296.78,0,0,1,Clear skies,Clear skies,04/10/08 13:00,04/10/08,5187
,297.62,0,0,2,Clear skies,Clear skies,04/10/08 14:00,04/10/08,5504
,298.37,0,0,2,Clear skies,Clear skies,04/10/08 15:00,04/10/08,5715
,298.26,0,0,21,Cloudy skies,Scattered clouds,04/10/08 16:00,04/10/08,6298
,298.17,0,0,20,Cloudy skies,Scattered clouds,04/10/08 17:00,04/10/08,6061
,296.76,0,0,40,Cloudy skies,Partly cloudy skies,04/10/08 18:00,04/10/08,4912
,294.85,0,0,40,Cloudy skies,Partly cloudy skies,04/10/08 19:00,04/10/08,3508
,292.73,0,0,41,Cloudy skies,Partly cloudy skies,04/10/08 20:00,04/10/08,3038
,292.67,0,0,75,Cloudy skies,Fragmented clouds,04/10/08 21:00,04/10/08,2825
,292.26,0,0,75,Cloudy skies,Fragmented clouds,04/10/08 22:00,04/10/08,1994
,291.72,0,0,75,Cloudy skies,Fragmented clouds,04/10/08 23:00,04/10/08,1175
,290.73,0,0,75,Cloudy skies,Fragmented clouds,05/10/08 0:00,05/10/08,637
,291.06,0,0,40,Cloudy skies,Partly cloudy skies,05/10/08 1:00,05/10/08,391
,289.56,0,0,0,Clear skies,Clear skies,05/10/08 3:00,05/10/08,372
,283.71,0,0,76,Cloudy skies,Fragmented clouds,05/10/08 5:00,05/10/08,2490
,282.34,0,0,90,Cloudy skies,Full cloud cover,05/10/08 6:00,05/10/08,5542
,281.89,0,0,90,Cloudy skies,Full cloud cover,05/10/08 7:00,05/10/08,6632
,281.17,0,0,91,Cloudy skies,Full cloud cover,05/10/08 8:00,05/10/08,5541
,280.52,0,0,75,Cloudy skies,Fragmented clouds,05/10/08 9:00,05/10/08,5409
,280.21,0,0,76,Cloudy skies,Fragmented clouds,05/10/08 10:00,05/10/08,4775
,280.9,0,0,90,Cloudy skies,Full cloud cover,05/10/08 11:00,05/10/08,5222
,281.53,0,0,91,Cloudy skies,Full cloud cover,05/10/08 12:00,05/10/08,5879
,282.03,0,0,75,Cloudy skies,Fragmented clouds,05/10/08 13:00,05/10/08,5972
,282.18,0,0,90,Cloudy skies,Full cloud cover,05/10/08 14:00,05/10/08,6116
,282.41,0,0,90,Cloudy skies,Full cloud cover,05/10/08 15:00,05/10/08,6136
,281.93,0,0,91,Cloudy skies,Full cloud cover,05/10/08 16:00,05/10/08,6079
,281.52,0,0,90,Cloudy skies,Full cloud cover,05/10/08 17:00,05/10/08,6171
,281.87,0,0,90,Cloudy skies,Full cloud cover,05/10/08 18:00,05/10/08,5392
,280.35,0,0,91,Cloudy skies,Full cloud cover,05/10/08 19:00,05/10/08,4066
,280.08,0,0,91,Cloudy skies,Full cloud cover,05/10/08 20:00,05/10/08,3374
,279.85,0,0,75,Cloudy skies,Fragmented clouds,05/10/08 21:00,05/10/08,2979
,279.42,0,0,40,Cloudy skies,Partly cloudy skies,05/10/08 22:00,05/10/08,2455
,279.56,0,0,40,Cloudy skies,Partly cloudy skies,05/10/08 23:00,05/10/08,1838
,279.11,0,0,90,Cloudy skies,Full cloud cover,06/10/08 0:00,06/10/08,1241
,279.05,0,0,90,Cloudy skies,Full cloud cover,06/10/08 1:00,06/10/08,722
,278.69,0,0,90,Cloudy skies,Full cloud cover,06/10/08 2:00,06/10/08,549
,277.89,0,0,76,Cloudy skies,Fragmented clouds,06/10/08 4:00,06/10/08,414
,276.65,0,0,20,Cloudy skies,Scattered clouds,06/10/08 5:00,06/10/08,689
,276,0,0,2,Clear skies,Clear skies,06/10/08 6:00,06/10/08,1361
,275.87,0,0,1,Clear skies,Clear skies,06/10/08 7:00,06/10/08,2079
,275.59,0,0,2,Clear skies,Clear skies,06/10/08 8:00,06/10/08,3343
,275.49,0,0,41,Cloudy skies,Partly cloudy skies,06/10/08 9:00,06/10/08,4260
,277.38,0,0,20,Cloudy skies,Scattered clouds,06/10/08 10:00,06/10/08,4866
,278.84,0,0,20,Cloudy skies,Scattered clouds,06/10/08 11:00,06/10/08,5196
,279.98,0,0,41,Cloudy skies,Partly cloudy skies,06/10/08 12:00,06/10/08,5674
,280.82,0,0,75,Cloudy skies,Fragmented clouds,06/10/08 13:00,06/10/08,5076
,281.05,0,0,75,Cloudy skies,Fragmented clouds,06/10/08 14:00,06/10/08,5031
,280.4,0,0,75,Cloudy skies,Fragmented clouds,06/10/08 15:00,06/10/08,5155
,279.66,0,0,91,Cloudy skies,Full cloud cover,06/10/08 16:00,06/10/08,5033
,279.61,0,0,90,Cloudy skies,Full cloud cover,06/10/08 17:00,06/10/08,4781
,279.09,0,0,90,Cloudy skies,Full cloud cover,06/10/08 18:00,06/10/08,4372
,278.46,0,0,90,Cloudy skies,Full cloud cover,06/10/08 19:00,06/10/08,3869
,279.16,0,0,91,Cloudy skies,Full cloud cover,06/10/08 20:00,06/10/08,3164
,278.13,0,0,90,Cloudy skies,Full cloud cover,06/10/08 21:00,06/10/08,2999
,277.3,0,0,90,Cloudy skies,Full cloud cover,06/10/08 22:00,06/10/08,3204
,276.74,0,0,75,Cloudy skies,Fragmented clouds,06/10/08 23:00,06/10/08,1948
,277.11,0,0,75,Cloudy skies,Fragmented clouds,07/10/08 0:00,07/10/08,1235
,276.03,0,0,90,Cloudy skies,Full cloud cover,07/10/08 3:00,07/10/08,325
,276.05,0,0,90,Cloudy skies,Full cloud cover,07/10/08 4:00,07/10/08,318
,275.81,0,0,75,Cloudy skies,Fragmented clouds,07/10/08 5:00,07/10/08,637
,275.15,0,0,90,Cloudy skies,Full cloud cover,07/10/08 6:00,07/10/08,1516
,275.27,0,0,91,Cloudy skies,Full cloud cover,07/10/08 7:00,07/10/08,1543
,275.77,0,0,75,Cloudy skies,Fragmented clouds,07/10/08 8:00,07/10/08,2238
,275.95,0,0,75,Cloudy skies,Fragmented clouds,07/10/08 9:00,07/10/08,4577
,277.14,0,0,75,Cloudy skies,Fragmented clouds,07/10/08 10:00,07/10/08,4634
,277.41,0,0,91,Cloudy skies,Full cloud cover,07/10/08 11:00,07/10/08,4539
,277.53,0,0,90,Cloudy skies,Full cloud cover,07/10/08 12:00,07/10/08,5146
,278.65,0,0,90,Cloudy skies,Full cloud cover,07/10/08 13:00,07/10/08,6644
,279.57,0,0,90,Cloudy skies,Full cloud cover,07/10/08 14:00,07/10/08,6594
,279.57,0,0,90,Cloudy skies,Full cloud cover,07/10/08 15:00,07/10/08,4436
,279.64,0,0,90,Cloudy skies,Full cloud cover,07/10/08 16:00,07/10/08,4334
,280.22,0,0,91,Cloudy skies,Full cloud cover,07/10/08 17:00,07/10/08,3843
,279.37,0,0,91,Cloudy skies,Full cloud cover,07/10/08 18:00,07/10/08,4019
,278.81,0,0,90,Cloudy skies,Full cloud cover,07/10/08 19:00,07/10/08,3386
,277.69,0,0,76,Cloudy skies,Fragmented clouds,07/10/08 20:00,07/10/08,2816
,275.93,0,0,90,Cloudy skies,Full cloud cover,07/10/08 21:00,07/10/08,2119
,275.58,0,0,75,Cloudy skies,Fragmented clouds,07/10/08 22:00,07/10/08,1557
,274.82,0,0,21,Cloudy skies,Scattered clouds,07/10/08 23:00,07/10/08,966
1,274.08,0,0,20,Cloudy skies,Scattered clouds,08/10/08 0:00,08/10/08,462
,273.62,0,0,20,Cloudy skies,Scattered clouds,08/10/08 1:00,08/10/08,340
,272.68,0,0,1,Clear skies,Clear skies,08/10/08 2:00,08/10/08,266
,271.65,0,0,2,Clear skies,Clear skies,08/10/08 3:00,08/10/08,316
,271.53,0,0,1,Clear skies,Clear skies,08/10/08 4:00,08/10/08,788
,270.53,0,0,1,Clear skies,Clear skies,08/10/08 5:00,08/10/08,2573
,270.61,0,0,20,Cloudy skies,Scattered clouds,08/10/08 6:00,08/10/08,5573
,270.11,0,0,20,Cloudy skies,Scattered clouds,08/10/08 7:00,08/10/08,6683
,271.93,0,0,20,Cloudy skies,Scattered clouds,08/10/08 8:00,08/10/08,5970
,274.21,0,0,21,Cloudy skies,Scattered clouds,08/10/08 9:00,08/10/08,4837
,276.97,0,0,20,Cloudy skies,Scattered clouds,08/10/08 10:00,08/10/08,4405
,280.27,0,0,20,Cloudy skies,Scattered clouds,08/10/08 11:00,08/10/08,4420
,280.14,0,0,1,Clear skies,Clear skies,08/10/08 12:00,08/10/08,4653
,282.94,0,0,40,Cloudy skies,Partly cloudy skies,08/10/08 13:00,08/10/08,4610
,283.14,0,0,40,Cloudy skies,Partly cloudy skies,08/10/08 14:00,08/10/08,5128
,283.88,0,0,1,Clear skies,Clear skies,08/10/08 15:00,08/10/08,5504
,284.73,0,0,1,Clear skies,Clear skies,08/10/08 16:00,08/10/08,5986
,285.28,0,0,40,Cloudy skies,Partly cloudy skies,08/10/08 17:00,08/10/08,5670
,285.03,0,0,40,Cloudy skies,Partly cloudy skies,08/10/08 18:00,08/10/08,4263
,282.99,0,0,20,Cloudy skies,Scattered clouds,08/10/08 19:00,08/10/08,3077
,280.81,0,0,2,Clear skies,Clear skies,08/10/08 20:00,08/10/08,2383
,279.45,0,0,2,Clear skies,Clear skies,08/10/08 21:00,08/10/08,2035
,279,0,0,1,Clear skies,Clear skies,08/10/08 22:00,08/10/08,1405
,279.26,0,0,2,Clear skies,Clear skies,08/10/08 23:00,08/10/08,920
,278.48,0,0,2,Clear skies,Clear skies,09/10/08 0:00,09/10/08,525
,277.87,0,0,1,Clear skies,Clear skies,09/10/08 1:00,09/10/08,308
,278.47,0,0,1,Clear skies,Clear skies,09/10/08 2:00,09/10/08,253
,277.37,0,0,21,Cloudy skies,Scattered clouds,09/10/08 4:00,09/10/08,803
,277.52,0,0,40,Cloudy skies,Partly cloudy skies,09/10/08 5:00,09/10/08,2682
,277.5,0,0,41,Cloudy skies,Partly cloudy skies,09/10/08 6:00,09/10/08,5735
,278.31,0,0,75,Cloudy skies,Fragmented clouds,09/10/08 7:00,09/10/08,6458
,279.08,0,0,90,Cloudy skies,Full cloud cover,09/10/08 8:00,09/10/08,5767
,279.85,0,0,91,Cloudy skies,Full cloud cover,09/10/08 9:00,09/10/08,5607
,281.47,0,0,91,Cloudy skies,Full cloud cover,09/10/08 10:00,09/10/08,4542
,283.21,0,0,90,Cloudy skies,Full cloud cover,09/10/08 11:00,09/10/08,4697
,284.78,0,0,76,Cloudy skies,Fragmented clouds,09/10/08 12:00,09/10/08,5073
,285.74,0,0,76,Cloudy skies,Fragmented clouds,09/10/08 13:00,09/10/08,5031
,286.65,0,0,91,Cloudy skies,Full cloud cover,09/10/08 14:00,09/10/08,5304
,287.93,0,0,100,Rainfall,Soft rain,09/10/08 15:00,09/10/08,5779
,289.03,0,0,90,Cloudy skies,Full cloud cover,09/10/08 16:00,09/10/08,6357
,290.87,0,0,90,Cloudy skies,Full cloud cover,09/10/08 17:00,09/10/08,6134
,290.23,0,0,90,Cloudy skies,Full cloud cover,09/10/08 18:00,09/10/08,4468
,289.46,0,0,75,Cloudy skies,Fragmented clouds,09/10/08 19:00,09/10/08,3426
,287.96,0,0,90,Cloudy skies,Full cloud cover,09/10/08 20:00,09/10/08,2780
,286.11,0,0,91,Cloudy skies,Full cloud cover,09/10/08 21:00,09/10/08,2309
,283.56,0,0,90,Cloudy skies,Full cloud cover,09/10/08 22:00,09/10/08,1852
,283.45,0,0,90,Cloudy skies,Full cloud cover,09/10/08 23:00,09/10/08,955
,282.08,0,0,90,Cloudy skies,Full cloud cover,10/10/08 0:00,10/10/08,497
,282.28,0,0,91,Cloudy skies,Full cloud cover,10/10/08 1:00,10/10/08,340
,281.39,0,0,75,Cloudy skies,Fragmented clouds,10/10/08 2:00,10/10/08,265
,282.17,0,0,90,Cloudy skies,Full cloud cover,10/10/08 3:00,10/10/08,367
,281.65,0,0,92,Clear skies,Clear skies,10/10/08 6:00,10/10/08,5876
,281.65,0,0,99,Rainfall,Soft rain,10/10/08 7:00,10/10/08,6801
,281.1,0,0,99,Rainfall,Soft rain,10/10/08 8:00,10/10/08,6290
,279.71,0,0,99,Rainfall,Soft rain,10/10/08 9:00,10/10/08,5685
,280.17,0,0,99,Clear skies,Clear skies,10/10/08 10:00,10/10/08,4638
,280.99,0,0,2,Clear skies,Clear skies,10/10/08 11:00,10/10/08,4894
,282.49,0,0,76,Cloudy skies,Fragmented clouds,10/10/08 12:00,10/10/08,5036
,283.16,0,0,75,Cloudy skies,Fragmented clouds,10/10/08 13:00,10/10/08,5075
,282.65,0,0,90,Cloudy skies,Full cloud cover,10/10/08 14:00,10/10/08,5233
,282.29,0,0,90,Cloudy skies,Full cloud cover,10/10/08 15:00,10/10/08,5619
,282.03,0,0,82,Clear skies,Clear skies,10/10/08 16:00,10/10/08,6296
,283.3,0,0,81,Clear skies,Clear skies,10/10/08 18:00,10/10/08,4781
,282.7,0,0,81,Clear skies,Clear skies,10/10/08 19:00,10/10/08,3348
,282.7,0,0,81,Clear skies,Clear skies,10/10/08 20:00,10/10/08,3016
,283.6,0,0,81,Clear skies,Clear skies,10/10/08 21:00,10/10/08,2608
,283.6,0,0,81,Clear skies,Clear skies,10/10/08 22:00,10/10/08,1920
,282.7,0,0,82,Clear skies,Clear skies,10/10/08 23:00,10/10/08,1041
,274.2,0,0,1,Clear skies,Clear skies,11/10/08 1:00,11/10/08,350
,275,0,0,76,Cloudy skies,Fragmented clouds,11/10/08 3:00,11/10/08,359
,274.95,0,0,76,Cloudy skies,Fragmented clouds,11/10/08 4:00,11/10/08,851
,274.11,0,0,40,Cloudy skies,Partly cloudy skies,11/10/08 5:00,11/10/08,2796
,273.56,0,0,1,Clear skies,Clear skies,11/10/08 6:00,11/10/08,5812
,273.65,0,0,2,Clear skies,Clear skies,11/10/08 7:00,11/10/08,6807
,272.72,0,0,2,Clear skies,Clear skies,11/10/08 8:00,11/10/08,6311
,276.19,0,0,20,Cloudy skies,Scattered clouds,11/10/08 9:00,11/10/08,5301
,275.64,0,0,2,Clear skies,Clear skies,11/10/08 10:00,11/10/08,4639
,284.2,0,0,51,Clear skies,Clear skies,11/10/08 14:00,11/10/08,5558
,284.8,0,0,50,Clear skies,Clear skies,11/10/08 15:00,11/10/08,5822
,283.98,0,0,75,Cloudy skies,Fragmented clouds,11/10/08 16:00,11/10/08,6274
,283.62,0,0,75,Cloudy skies,Fragmented clouds,11/10/08 17:00,11/10/08,5949
,284.32,0,0,90,Cloudy skies,Full cloud cover,11/10/08 18:00,11/10/08,4956
,282.26,0,0,90,Cloudy skies,Full cloud cover,11/10/08 19:00,11/10/08,3513
,282.15,0,0,90,Cloudy skies,Full cloud cover,11/10/08 20:00,11/10/08,3046
,282.01,0,0,90,Cloudy skies,Full cloud cover,11/10/08 21:00,11/10/08,2685
,282.46,0,0,90,Cloudy skies,Full cloud cover,11/10/08 22:00,11/10/08,2095
,283.43,0,0,90,Cloudy skies,Full cloud cover,11/10/08 23:00,11/10/08,1290
,284.81,0,0,90,Cloudy skies,Full cloud cover,12/10/08 0:00,12/10/08,636
,284.84,0,0,91,Cloudy skies,Full cloud cover,12/10/08 1:00,12/10/08,420
,285.11,0,0,90,Cloudy skies,Full cloud cover,12/10/08 2:00,12/10/08,337
,283.98,0,0,72,Light rain,Mild drizzle,12/10/08 3:00,12/10/08,380
,283.16,0,0,72,Rainfall,Soft rain,12/10/08 4:00,12/10/08,742
,281.17,0,0,72,Light rain,Mild drizzle,12/10/08 5:00,12/10/08,2569
,278.83,0,0,75,Cloudy skies,Fragmented clouds,12/10/08 6:00,12/10/08,5588
,278.34,0,0,76,Cloudy skies,Fragmented clouds,12/10/08 7:00,12/10/08,6998
,278.7,0,0,90,Cloudy skies,Full cloud cover,12/10/08 8:00,12/10/08,5865
,278.28,0,0,91,Cloudy skies,Full cloud cover,12/10/08 9:00,12/10/08,5233
,279.79,0,0,75,Cloudy skies,Fragmented clouds,12/10/08 10:00,12/10/08,4868
,280.55,0,0,75,Cloudy skies,Fragmented clouds,12/10/08 11:00,12/10/08,5152
,281.35,0,0,40,Cloudy skies,Partly cloudy skies,12/10/08 12:00,12/10/08,5529
,282.34,0,0,40,Cloudy skies,Partly cloudy skies,12/10/08 13:00,12/10/08,5384
,281.94,0,0,75,Cloudy skies,Fragmented clouds,12/10/08 14:00,12/10/08,5765
,282.55,0,0,76,Cloudy skies,Fragmented clouds,12/10/08 15:00,12/10/08,5890
,282.3,0,0,76,Cloudy skies,Fragmented clouds,12/10/08 16:00,12/10/08,6061
,281.74,0,0,41,Cloudy skies,Partly cloudy skies,12/10/08 17:00,12/10/08,6035
,280.71,0,0,20,Cloudy skies,Scattered clouds,12/10/08 18:00,12/10/08,5266
,283.1,0,0,56,Clear skies,Clear skies,12/10/08 23:00,12/10/08,1906
,272.68,0,0,1,Clear skies,Clear skies,13/10/08 0:00,13/10/08,1340
,272.76,0,0,1,Clear skies,Clear skies,13/10/08 1:00,13/10/08,774
,271.99,0,0,1,Clear skies,Clear skies,13/10/08 2:00,13/10/08,576
,271.29,0,0,21,Cloudy skies,Scattered clouds,13/10/08 3:00,13/10/08,419
,270.28,0,0,1,Clear skies,Clear skies,13/10/08 4:00,13/10/08,403
,269.37,0,0,1,Clear skies,Clear skies,13/10/08 5:00,13/10/08,741
,269.71,0,0,1,Clear skies,Clear skies,13/10/08 6:00,13/10/08,1425
,269.18,0,0,75,Cloudy skies,Fragmented clouds,13/10/08 7:00,13/10/08,2224
,269.43,0,0,40,Cloudy skies,Partly cloudy skies,13/10/08 8:00,13/10/08,3488
,273.31,0,0,40,Cloudy skies,Partly cloudy skies,13/10/08 9:00,13/10/08,4547
,277.18,0,0,21,Cloudy skies,Scattered clouds,13/10/08 10:00,13/10/08,4582
,279.72,0,0,1,Clear skies,Clear skies,13/10/08 11:00,13/10/08,4442
,281.35,0,0,1,Clear skies,Clear skies,13/10/08 12:00,13/10/08,4632
,282.11,0,0,1,Clear skies,Clear skies,13/10/08 13:00,13/10/08,4449
,283.95,0,0,1,Clear skies,Clear skies,13/10/08 14:00,13/10/08,4502
,284.56,0,0,1,Clear skies,Clear skies,13/10/08 15:00,13/10/08,4486
,284.93,0,0,1,Clear skies,Clear skies,13/10/08 16:00,13/10/08,4600
,284.94,0,0,1,Clear skies,Clear skies,13/10/08 17:00,13/10/08,4483
,283.74,0,0,2,Clear skies,Clear skies,13/10/08 18:00,13/10/08,4231
,282.65,0,0,20,Cloudy skies,Scattered clouds,13/10/08 19:00,13/10/08,3674
,282.28,0,0,2,Clear skies,Clear skies,13/10/08 20:00,13/10/08,3025
,282.44,0,0,75,Cloudy skies,Fragmented clouds,13/10/08 21:00,13/10/08,2776
,282.73,0,0,90,Cloudy skies,Full cloud cover,13/10/08 22:00,13/10/08,2883
,283.08,0,0,90,Cloudy skies,Full cloud cover,13/10/08 23:00,13/10/08,1938
,283.29,0,0,90,Cloudy skies,Full cloud cover,14/10/08 0:00,14/10/08,1317
,283.04,0,0,90,Cloudy skies,Full cloud cover,14/10/08 1:00,14/10/08,879
,283.28,0,0,90,Cloudy skies,Full cloud cover,14/10/08 2:00,14/10/08,657
,282.33,0,0,90,Cloudy skies,Full cloud cover,14/10/08 3:00,14/10/08,368
,283.08,0,0,90,Cloudy skies,Full cloud cover,14/10/08 4:00,14/10/08,271
,283.03,0,0,90,Cloudy skies,Full cloud cover,14/10/08 5:00,14/10/08,512
,283.04,0,0,90,Cloudy skies,Full cloud cover,14/10/08 6:00,14/10/08,866
,282.54,0,0,90,Cloudy skies,Full cloud cover,14/10/08 7:00,14/10/08,1142
,282.74,0,0,58,Light fog,Fine fog,14/10/08 8:00,14/10/08,1798
,282.93,0,0,57,Light rain,Mild drizzle,14/10/08 9:00,14/10/08,2692
,282.93,0,0,58,Light rain,Mild drizzle,14/10/08 10:00,14/10/08,3374
,283.12,0,0,58,Light rain,Mild drizzle,14/10/08 11:00,14/10/08,3663
,284.33,0,0,58,Light fog,Fine fog,14/10/08 12:00,14/10/08,4077
,284.05,0,0,93,Rainfall,Soft rain,14/10/08 13:00,14/10/08,4136
,284.99,0,0,93,Light fog,Fine fog,14/10/08 14:00,14/10/08,4365
,285.55,0,0,93,Light fog,Fine fog,14/10/08 15:00,14/10/08,4351
,284.98,0,0,93,Light fog,Fine fog,14/10/08 16:00,14/10/08,4241
,284.74,0,0,93,Rainfall,Soft rain,14/10/08 17:00,14/10/08,4277
,285.2,0,0,93,Light fog,Fine fog,14/10/08 18:00,14/10/08,4087
,284.27,0,0,93,Light fog,Fine fog,14/10/08 19:00,14/10/08,3461
,284.43,0,0,93,Light fog,Fine fog,14/10/08 20:00,14/10/08,2728
,284.38,0,0,93,Light fog,Fine fog,14/10/08 21:00,14/10/08,2448
,283.84,0,0,94,Light fog,Fine fog,14/10/08 22:00,14/10/08,1821
,282.35,0,0,93,Light fog,Fine fog,14/10/08 23:00,14/10/08,1008
,282.11,0,0,93,Light fog,Fine fog,15/10/08 0:00,15/10/08,552
,282.07,0,0,85,Dense fog,Dense fog,15/10/08 1:00,15/10/08,312
,282.32,0,0,85,Dense fog,Dense fog,15/10/08 2:00,15/10/08,245
,281.99,0,0,85,Light fog,Fine fog,15/10/08 3:00,15/10/08,342
,281.22,0,0,85,Light fog,Fine fog,15/10/08 4:00,15/10/08,814
,281.62,0,0,85,Light fog,Fine fog,15/10/08 5:00,15/10/08,2614
,281.09,0,0,85,Light fog,Fine fog,15/10/08 6:00,15/10/08,5718
,280.99,0,0,100,Light fog,Fine fog,15/10/08 7:00,15/10/08,6806
,280.02,0,0,100,Light fog,Fine fog,15/10/08 8:00,15/10/08,6115
,280.55,0,0,100,Light fog,Fine fog,15/10/08 9:00,15/10/08,5095
,280.77,0,0,101,Light fog,Fine fog,15/10/08 10:00,15/10/08,4476
,280.42,0,0,90,Cloudy skies,Full cloud cover,15/10/08 11:00,15/10/08,4534
,282.12,0,0,100,Clear skies,Clear skies,15/10/08 12:00,15/10/08,4826
,284.91,0,0,40,Cloudy skies,Partly cloudy skies,15/10/08 13:00,15/10/08,4875
,286.58,0,0,2,Clear skies,Clear skies,15/10/08 14:00,15/10/08,5240
,287.27,0,0,1,Clear skies,Clear skies,15/10/08 15:00,15/10/08,5585
,288.3,0,0,21,Cloudy skies,Scattered clouds,15/10/08 16:00,15/10/08,6250
,287.77,0,0,20,Cloudy skies,Scattered clouds,15/10/08 17:00,15/10/08,5962
,287.18,0,0,20,Cloudy skies,Scattered clouds,15/10/08 18:00,15/10/08,4537
,286.1,0,0,75,Cloudy skies,Fragmented clouds,15/10/08 19:00,15/10/08,3240
,285.18,0,0,75,Cloudy skies,Fragmented clouds,15/10/08 20:00,15/10/08,2683
,285.49,0,0,90,Cloudy skies,Full cloud cover,15/10/08 21:00,15/10/08,2079
,284.14,0,0,20,Cloudy skies,Scattered clouds,15/10/08 22:00,15/10/08,1382
,282.83,0,0,75,Cloudy skies,Fragmented clouds,15/10/08 23:00,15/10/08,934
,281.41,0,0,20,Cloudy skies,Scattered clouds,16/10/08 0:00,16/10/08,510
,280.07,0,0,2,Clear skies,Clear skies,16/10/08 1:00,16/10/08,328
,279.93,0,0,2,Clear skies,Clear skies,16/10/08 2:00,16/10/08,263
,278.81,0,0,1,Clear skies,Clear skies,16/10/08 3:00,16/10/08,362
,277.41,0,0,1,Clear skies,Clear skies,16/10/08 4:00,16/10/08,771
,277.51,0,0,1,Clear skies,Clear skies,16/10/08 5:00,16/10/08,2776
,276.91,0,0,1,Clear skies,Clear skies,16/10/08 6:00,16/10/08,5790
